location_id,sensor_id,parameter,display_name,value,unit,datetime_from,datetime_to,_ingested_at
783927,4273177,pm25,PM2.5,15.0,µg/m³,2026-04-13 04:00:00+00:00,2026-04-13 05:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4273177,pm25,PM2.5,15.0,µg/m³,2026-04-13 05:00:00+00:00,2026-04-13 06:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4273177,pm25,PM2.5,15.0,µg/m³,2026-04-13 06:00:00+00:00,2026-04-13 07:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4273177,pm25,PM2.5,12.0,µg/m³,2026-04-13 07:00:00+00:00,2026-04-13 08:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4273177,pm25,PM2.5,11.0,µg/m³,2026-04-13 08:00:00+00:00,2026-04-13 09:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4273177,pm25,PM2.5,12.0,µg/m³,2026-04-13 09:00:00+00:00,2026-04-13 10:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4273177,pm25,PM2.5,13.0,µg/m³,2026-04-13 10:00:00+00:00,2026-04-13 11:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4273177,pm25,PM2.5,12.0,µg/m³,2026-04-13 11:00:00+00:00,2026-04-13 12:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4273177,pm25,PM2.5,11.0,µg/m³,2026-04-13 12:00:00+00:00,2026-04-13 13:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4273177,pm25,PM2.5,11.0,µg/m³,2026-04-13 13:00:00+00:00,2026-04-13 14:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4273177,pm25,PM2.5,11.0,µg/m³,2026-04-13 14:00:00+00:00,2026-04-13 15:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4273177,pm25,PM2.5,11.0,µg/m³,2026-04-13 15:00:00+00:00,2026-04-13 16:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4273177,pm25,PM2.5,11.0,µg/m³,2026-04-13 16:00:00+00:00,2026-04-13 17:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4273177,pm25,PM2.5,11.0,µg/m³,2026-04-13 17:00:00+00:00,2026-04-13 18:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4273177,pm25,PM2.5,10.0,µg/m³,2026-04-13 18:00:00+00:00,2026-04-13 19:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4273177,pm25,PM2.5,11.0,µg/m³,2026-04-13 19:00:00+00:00,2026-04-13 20:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4273177,pm25,PM2.5,10.0,µg/m³,2026-04-13 20:00:00+00:00,2026-04-13 21:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4273177,pm25,PM2.5,10.0,µg/m³,2026-04-13 21:00:00+00:00,2026-04-13 22:00:00+00:00,2026-04-14 22:41:18.013651+00:00
783927,4273177,pm25,PM2.5,11.0,µg/m³,2026-04-13 22:00:00+00:00,2026-04-13 23:00:00+00:00,2026-04-14 22:41:18.013651+00:00
